#Pin Out file generated by Lattice Diamond Version 1.4.1.91
#Generated at Fri Mar 30 06:47:36 2012
#DEVICE=LCMXO2280C
#PACKAGE=FTBGA256
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
356, GND, , , -, , F11, , -, 
357, GND, , , -, , G8, , +, 
358, GND, , , -, , G9, , -, 
359, GND, , , -, , H7, , +, 
360, GND, , , -, , H8, , -, 
361, GND, , , -, , H9, , +, 
362, GND, , , -, , H10, , -, 
363, GND, , , -, , J7, , +, 
364, GND, , , -, , J8, , -, 
365, GND, , , -, , J9, , +, 
366, GND, , , -, , J10, , -, 
367, GND, , , -, , K8, , +, 
368, GND, , , -, , K9, , -, 
369, GND, , , -, , L6, , +, 
370, GND, , , -, , T1, , -, 
371, GND, , , -, , T16, , +, 
372, GND, , , -, , -, , -, 
373, GND, , , -, , -, , +, 
374, GND, , , -, , -, , -, 
375, GND, , , -, , -, , +, 
376, GND, , , -, , -, , -, 
377, GND, , , -, , -, , +, 
378, VCC, , , -, , G7, , +, 
379, VCC, , , -, , G10, , +, 
380, VCC, , , -, , K7, , +, 
381, VCC, , , -, , K10, , +, 
382, VCC, , , -, , -, , +, 
383, VCC, , , -, , -, , +, 
384, VCCIO7, , 7, -, , H6, , +, 
385, VCCIO7, , 7, -, , G6, , +, 
386, VCCIO6, , 6, -, , K6, , -, 
387, VCCIO6, , 6, -, , J6, , -, 
388, VCCIO5, , 5, -, , L8, , +, 
389, VCCIO5, , 5, -, , L7, , +, 
390, VCCIO4, , 4, -, , L9, , -, 
391, VCCIO4, , 4, -, , L10, , -, 
392, VCCIO3, , 3, -, , K11, , +, 
393, VCCIO3, , 3, -, , J11, , +, 
394, VCCIO2, , 2, -, , H11, , -, 
395, VCCIO2, , 2, -, , G11, , -, 
396, VCCIO1, , 1, -, , F9, , +, 
397, VCCIO1, , 1, -, , F10, , +, 
398, VCCIO0, , 0, -, , F8, , -, 
399, VCCIO0, , 0, -, , F7, , -, 
